"","Janus.Tissue.ID","Neutron","Gamma","Total.dose","X..Fractions","Gender","JM.exp.series","DISEASE","Janus.Tissue.ID.1","HTG.Sample.label","Array","Element","let.7b","miR.143","miR.145","miR.16","miR.17","miR.214","miR.23a","miR.24","miR.27a","miR.34a","miR.574.5p","miR.720","miR.1195","miR.466f.3p","miR.467b","miR.503","miR.669i","miR.690","miR.701","miR.703","miR.706","miR.709","miR.712","miR.714","miR.872","miR.881","miR.92a","miR.155","miR.15a","miR.21","miR.19a","miR.20a","GUSB","GAPDH","miR.699","miR.685","miR.923","miR.1826","miR.1308","Quality","ElementCol","ElementRow","dose_rate","age","first_irrad"
"1","ABUOFC","","",0,0,"U",0,"FALSE"," AB UofC","  1-M ab UofC","120810","A1",3579,1889,1923,14,793,516,1641,1067,1443,84,7546,13369,4517,272,NA,27,NA,13310,NA,NA,1452,13210,8190,6113,NA,NA,2109,NA,715,129,30,28,4644,10761,2795,4523,14011,12938,11257,"control","1","A",NA,NA,NA
"2","AUOFC","","",0,0,"U",0,"FALSE"," A UofC","  2-M a UofC","120810","B1",1420,1050,1218,1,588,272,822,570,945,48,3011,14876,1873,170,NA,141,NA,11122,15,NA,698,10156,2430,1437,NA,4,1493,35,403,77,51,11,5847,11155,646,1661,13890,14354,11421,"control","1","B",NA,NA,NA
"3","B1035","","G",545.7,1,"F",3,"FALSE"," B 1035","11-B 1035","100711","C2",3208,284,195,124,651,356,633,9709,264,NA,28964,28615,1084,1180,137,NA,157,2897,NA,NA,205,12561,1902,6379,65,NA,1584,86,150,125,168,NA,290,846,534,2136,30116,23866,26955,"G","2","C",27.285,341,109
"4","B1035","","G",545.7,1,"F",3,"FALSE","B 1035","11-B1035","72612B","C2",652,97,112,NA,148,NA,83,NA,83,NA,28098,1880,965,691,83,NA,NA,936,NA,NA,189,5947,640,4086,422,NA,1075,NA,NA,NA,NA,NA,NA,164,200,765,32897,26697,23319,"G","2","C",27.285,341,109
"5","B1035","","G",545.7,1,"F",3,"FALSE","B 1035","11-B1035","72612A","C2",704,91,154,93,139,103,136,NA,88,NA,24429,1774,1590,1412,NA,NA,257,1383,340,128,87,5928,840,6235,964,311,1035,114,159,167,146,NA,NA,NA,819,991,26953,20268,21116,"G","2","C",27.285,341,109
"6","B1074","N","",18.84,1,"F",3,"FALSE"," B 1074","56-B1074","102011","H7",828,NA,NA,77,NA,98,NA,2704,NA,NA,18079,32397,933,319,NA,NA,NA,1346,NA,NA,NA,5369,1329,3183,NA,NA,521,NA,NA,NA,145,NA,68,71,136,777,31679,25646,29594,"N","7","H",0.942,299,115
"7","B1074","N","",18.84,1,"F",3,"FALSE"," B 1074","","4022012","H7",2640,390,352,450,480,882,600,9024,449,141,28246,28178,4094,2277,116,450,865,8089,180,NA,452,19008,2849,7283,174,153,1547,530,483,386,483,261,2739,2555,660,3129,32118,31897,30390,"N","7","H",0.942,299,115
"8","B1136","N","",18.84,1,"F",3,"FALSE"," B 1136","29-B1136","102011","E4",551,NA,NA,NA,NA,82,NA,3301,NA,NA,475,1484,277,340,NA,NA,NA,NA,NA,NA,NA,156,51,493,118,NA,238,NA,NA,NA,109,NA,NA,51,77,97,33616,1452,803,"N","4","E",0.942,400,115
"9","B1136","N","",18.84,1,"F",3,"FALSE"," B 1136","","4022012","E4",2881,NA,NA,NA,NA,396,NA,9532,NA,NA,791,1342,846,1545,314,178,NA,NA,188,NA,NA,350,108,3037,224,NA,740,87,NA,NA,1817,NA,168,460,306,NA,35785,1542,475,"N","4","E",0.942,400,115
"10","B1136","N","",18.84,1,"F",3,"FALSE"," B 1136","","4022012","A8",831,NA,NA,NA,NA,797,157,8698,82,NA,802,1481,609,1320,201,136,NA,NA,184,NA,NA,311,98,1667,250,92,624,99,NA,NA,NA,NA,NA,253,276,NA,32027,1596,499,"N","8","A",0.942,400,115
